,cpi_overall,cpi_food,cpi_shelter,cpi_transportation,pce_total,disposable_income,fed_funds_rate,consumer_sentiment,unemployment_rate
cpi_overall,1.0,0.9961389196312922,0.9903173448980661,0.9637205245555064,0.9944616614792742,0.966144963415606,0.7905378567160288,-0.8523802466805787,-0.24014367914774373
cpi_food,0.9961389196312922,1.0,0.9850139209989616,0.9540946081891154,0.9859703781069412,0.9609553572441815,0.7934835231243667,-0.8680249300683602,-0.20815842883222152
cpi_shelter,0.9903173448980661,0.9850139209989616,1.0,0.9209710110666303,0.986261121968822,0.9776773106657657,0.7998871905367567,-0.8140387126130959,-0.18072636426954986
cpi_transportation,0.9637205245555064,0.9540946081891154,0.9209710110666303,1.0,0.9604829388602903,0.8915680412059582,0.7505166436286751,-0.8371902749678384,-0.3895761600989017
pce_total,0.9944616614792742,0.9859703781069412,0.986261121968822,0.9604829388602903,1.0,0.9614939545939679,0.7792243846908966,-0.8285947756350341,-0.2898112578777994
disposable_income,0.966144963415606,0.9609553572441815,0.9776773106657657,0.8915680412059582,0.9614939545939679,1.0,0.7201053032977837,-0.8275771545560797,-0.07020506732154434
fed_funds_rate,0.7905378567160288,0.7934835231243667,0.7998871905367567,0.7505166436286751,0.7792243846908966,0.7201053032977837,1.0,-0.46895732394394873,-0.4285669153437215
consumer_sentiment,-0.8523802466805787,-0.8680249300683602,-0.8140387126130959,-0.8371902749678384,-0.8285947756350341,-0.8275771545560797,-0.46895732394394873,1.0,-0.011080430684169359
unemployment_rate,-0.24014367914774373,-0.20815842883222152,-0.18072636426954986,-0.3895761600989017,-0.2898112578777994,-0.07020506732154434,-0.4285669153437215,-0.011080430684169359,1.0
