variable,count,mean,std,min,max
cpi_overall,121.0,275.93761983471074,29.299936440845798,237.336,327.46
cpi_food,121.0,285.85089256198347,34.718613460650005,247.658,346.622
cpi_shelter,121.0,343.004132231405,42.5954411515955,283.714,422.942
cpi_transportation,121.0,232.88842975206614,31.81902143970554,188.733,278.932
pce_total,121.0,16257.959504132232,2866.4750209557183,12249.2,21615.1
disposable_income,121.0,18127.352066115698,3017.5421745215967,13767.2,23448.1
fed_funds_rate,121.0,2.198842975206611,1.9080151947694428,0.05,5.33
consumer_sentiment,121.0,79.48925619834709,15.873677381401432,50.0,101.4
unemployment_rate,121.0,4.580165289256198,1.7168100183533581,3.4,14.8
